"","type","cor.PERMA_A1_1","cor.PERMA_A2_1","cor.PERMA_A3_1","cor.PERMA_E1_1","cor.PERMA_E2_1","cor.PERMA_E3_1","cor.PERMA_P1_1","cor.PERMA_P2","cor.PERMA_P3_1","cor.PERMA_R1_1","cor.PERMA_R2_1","cor.PERMA_R3_1","cor.PERMA_M1_1","cor.PERMA_M2_1","cor.PERMA_M3_1","cor.PERMA_N1_1","cor.PERMA_N2_1","cor.PERMA_N3_1","cor.PERMA_Hea1_1","cor.PERMA_Hea2_1","cor.PERMA_Hea3_1","cor.PERMA_Lone_1","cor.PERMA_HPY_1","mean"
"PERMA_M2_1","cor.bollen",0.0123222242850888,-0.0206780188253978,-0.000515351695356769,-0.0362656291555977,0.02432255872164,-0.0102816077174078,0.00355359469832162,0.0373404487263723,0.0487412652310778,-0.017250896630808,-0.0448716070063466,0.0106488971694206,0.00330239252989373,0,-0.00881636217904913,0.115301170539943,-0.021331153758596,-0.0686589256892399,0.00641003555164732,0.0131396105616851,-0.0360817682031858,-0.0206030844575527,-0.0141398594604585,-1.99724989879968e-07
"PERMA_M3_1","cor.bollen",0.0380106469365038,0.028768843864431,0.0684438263460126,0.0133994484945418,-0.00795939407082868,0.00418478669185146,-0.0921079050420613,-0.059100316624031,0.0856213981656805,0.00815662293169628,-0.0112666315647125,-0.0175428172517298,0.00746254003105196,-0.00881636217904913,0,0.169139735387757,0.0212124489153291,0.050125633639276,-0.00904008747854279,0.017395192259162,-0.00101335030819172,0.0579985689106238,-0.0106134061117356,-2.68661052960084e-07
"PERMA_N1_1","cor.bollen",0.0763031162476117,0.091779501671528,0.0546731229839335,0.186082840249684,0.120529642122856,0.0543944806992073,0.0805443871218064,0.0984593089787318,0.173827480904391,0.0739715399346445,0.096559353890869,0.0603989103520479,0.0616715174592104,0.115301170539943,0.169139735387757,0,0.00217075684716117,-0.000495718858500527,0.125255992506207,0.0932027202261702,0.0924629945809447,-0.00641364995590005,0.0984061106921659,7.32345376341925e-07
"PERMA_N2_1","cor.bollen",-0.0443923127944435,-0.0501455671100902,-0.0145765556491018,0.0770753109034462,-0.0184380232126899,0.0204228122032378,0.0056483230937264,0.0139773727822315,0.107012924477226,0.00383186722728376,0.00630780836286555,0.00986242456645825,-0.0577304410025468,-0.021331153758596,0.0212124489153291,0.00217075684716139,0,-0.000512809149412985,-0.0204950694301696,-0.0859902458247109,-0.0352759810151896,0.00164546717635439,-0.00163830196504849,3.10156957894492e-07
"PERMA_N3_1","cor.bollen",-0.0409941053713999,0.0204715521992929,-0.0449968362194625,0.0550437541821492,-0.0996447679222496,-0.118187759543929,-0.0738544291701444,-0.0882922205962327,0.182430009286416,0.0248656174229126,-0.0475890306185362,-0.089289165490015,-0.088301912386526,-0.0686589256892399,0.050125633639276,-0.000495718858500416,-0.000512809149413207,0,-0.0268632946900742,-0.0758517231895529,-0.0208125370722502,0.00231229020494494,-0.0461584316407811,4.03343713539783e-07
"PERMA_Hea1_1","cor.bollen",-0.0483279411391331,0.0353369687703491,0.0504121746041708,-0.0242581572297477,0.0214751614353502,0.0319948567376883,0.0647898501490997,0.0222070134930057,0.0287273451604776,0.026217944327356,-0.0130607242178163,-0.0240283802402098,0.0363170224119702,0.00641003555164732,-0.00904008747854279,0.125255992506207,-0.0204950694301696,-0.0268632946900742,0,-0.0250108424264477,0.00188573354169264,-0.00782016924652526,0.0106092785809511,-3.23910342991951e-07
"PERMA_Hea2_1","cor.bollen",-0.0148110069445845,0.049655448598744,-0.0216380720878691,-0.053429044155805,0.0189681322037806,0.0900904344439359,-0.0275954527908104,-0.0123703846021859,0.0263514459139019,0.0382224914880854,0.0451750958952142,0.0413631660483891,0.0461636226867043,0.0131396105616851,0.017395192259162,0.0932027202261702,-0.0859902458247109,-0.0758517231895529,-0.0250108424264477,0,0.0161566328308773,-0.034494626622084,0.0128028391113261,-1.32445328038244e-07
"PERMA_Hea3_1","cor.bollen",-0.0681573793827879,0.0172884695283673,0.0695761807775517,-0.0571434134709332,-0.0109743953768492,0.0382173125559725,-0.0255780447366031,-0.0380653072899704,0.0297224077394308,-0.0177039025215517,-0.023802898611864,0.00865120507601225,-0.00603516995181319,-0.0360817682031859,-0.00101335030819172,0.0924629945809447,-0.0352759810151896,-0.0208125370722502,0.00188573354169252,0.0161566328308773,0,0.0192479206004287,-0.0133766655525901,-4.90316383050526e-07
"PERMA_Lone_1","cor.bollen",-0.0475308947750993,0.0356536961160641,0.0282398402652566,0.114370008472971,-0.063933526781698,0.066967211297224,-0.00776204745588766,-0.0129439688072993,0.0983132626381029,0.0731728889231025,-0.0254483517934635,-0.0347082803798229,-0.0186662142265492,-0.0206030844575527,0.0579985689106238,-0.00641364995590005,0.00164546717635439,0.00231229020494494,-0.00782016924652529,-0.0344946266220841,0.0192479206004287,0,1.39897397749555e-07,2.14262759756778e-07
"PERMA_HPY_1","cor.bollen",-0.00784243909045457,-0.019196321159457,0.048529588893604,-0.0444556536278697,0.00250894245469102,0.0589951671364362,-0.00517843043938493,-0.00459555712379767,0.044580410420725,0.0019059221002603,-0.0351068476859558,0.0394431907618209,0.0303631361170936,-0.0141398594604585,-0.0106134061117357,0.0984061106921659,-0.00163830196504851,-0.0461584316407811,0.010609278580951,0.0128028391113261,-0.0133766655525902,1.39897397749555e-07,0,1.06535018984388e-06
